1 -1 #SUP: 49873
1 -1 4 -1 #SUP: 49873
1 -1 4 -1 5 -1 #SUP: 49873
1 -1 5 -1 #SUP: 49873
2 -1 #SUP: 49873
2 -1 1 -1 #SUP: 49873
2 -1 1 -1 4 -1 #SUP: 49873
2 -1 1 -1 4 -1 5 -1 #SUP: 49873
2 -1 1 -1 5 -1 #SUP: 49873
2 -1 4 -1 #SUP: 49873
2 -1 4 -1 5 -1 #SUP: 49873
2 -1 5 -1 #SUP: 49873
3 -1 #SUP: 49873
3 -1 1 -1 #SUP: 49873
3 -1 1 -1 4 -1 #SUP: 49873
3 -1 1 -1 4 -1 5 -1 #SUP: 49873
3 -1 1 -1 5 -1 #SUP: 49873
3 -1 2 -1 #SUP: 49873
3 -1 2 -1 1 -1 #SUP: 49873
3 -1 2 -1 1 -1 4 -1 #SUP: 49873
3 -1 2 -1 1 -1 4 -1 5 -1 #SUP: 49873
3 -1 2 -1 1 -1 5 -1 #SUP: 49873
3 -1 2 -1 4 -1 #SUP: 49873
3 -1 2 -1 4 -1 5 -1 #SUP: 49873
3 -1 2 -1 5 -1 #SUP: 49873
3 -1 4 -1 #SUP: 49873
3 -1 4 -1 5 -1 #SUP: 49873
3 -1 5 -1 #SUP: 49873
4 -1 #SUP: 49873
4 -1 5 -1 #SUP: 49873
5 -1 #SUP: 49873
