1 -1 #SUP: 49873
1 -1 4 -1 #SUP: 49873
1 -1 4 -1 5 -1 #SUP: 49873
1 -1 5 -1 #SUP: 49873
1 -1 6 -1 #SUP: 46912
1 -1 6 -1 4 -1 #SUP: 46912
1 -1 6 -1 4 -1 5 -1 #SUP: 46912
1 -1 6 -1 5 -1 #SUP: 46912
1 -1 6 -1 7 -1 #SUP: 36383
1 -1 6 -1 7 -1 4 -1 #SUP: 36383
1 -1 6 -1 7 -1 4 -1 5 -1 #SUP: 36383
1 -1 6 -1 7 -1 5 -1 #SUP: 36383
1 -1 6 -1 7 -1 8 -1 #SUP: 36383
1 -1 6 -1 7 -1 8 -1 4 -1 #SUP: 36383
1 -1 6 -1 7 -1 8 -1 4 -1 5 -1 #SUP: 36383
1 -1 6 -1 7 -1 8 -1 5 -1 #SUP: 36383
1 -1 6 -1 8 -1 #SUP: 36383
1 -1 6 -1 8 -1 4 -1 #SUP: 36383
1 -1 6 -1 8 -1 4 -1 5 -1 #SUP: 36383
1 -1 6 -1 8 -1 5 -1 #SUP: 36383
1 -1 7 -1 #SUP: 36383
1 -1 7 -1 4 -1 #SUP: 36383
1 -1 7 -1 4 -1 5 -1 #SUP: 36383
1 -1 7 -1 5 -1 #SUP: 36383
1 -1 7 -1 8 -1 #SUP: 36383
1 -1 7 -1 8 -1 4 -1 #SUP: 36383
1 -1 7 -1 8 -1 4 -1 5 -1 #SUP: 36383
1 -1 7 -1 8 -1 5 -1 #SUP: 36383
1 -1 8 -1 #SUP: 36383
1 -1 8 -1 4 -1 #SUP: 36383
1 -1 8 -1 4 -1 5 -1 #SUP: 36383
1 -1 8 -1 5 -1 #SUP: 36383
2 -1 #SUP: 49873
2 -1 1 -1 #SUP: 49873
2 -1 1 -1 4 -1 #SUP: 49873
2 -1 1 -1 4 -1 5 -1 #SUP: 49873
2 -1 1 -1 5 -1 #SUP: 49873
2 -1 1 -1 6 -1 #SUP: 46912
2 -1 1 -1 6 -1 4 -1 #SUP: 46912
2 -1 1 -1 6 -1 4 -1 5 -1 #SUP: 46912
2 -1 1 -1 6 -1 5 -1 #SUP: 46912
2 -1 1 -1 6 -1 7 -1 #SUP: 36383
2 -1 1 -1 6 -1 7 -1 4 -1 #SUP: 36383
2 -1 1 -1 6 -1 7 -1 4 -1 5 -1 #SUP: 36383
2 -1 1 -1 6 -1 7 -1 5 -1 #SUP: 36383
2 -1 1 -1 6 -1 7 -1 8 -1 #SUP: 36383
2 -1 1 -1 6 -1 7 -1 8 -1 4 -1 #SUP: 36383
2 -1 1 -1 6 -1 7 -1 8 -1 4 -1 5 -1 #SUP: 36383
2 -1 1 -1 6 -1 7 -1 8 -1 5 -1 #SUP: 36383
2 -1 1 -1 6 -1 8 -1 #SUP: 36383
2 -1 1 -1 6 -1 8 -1 4 -1 #SUP: 36383
2 -1 1 -1 6 -1 8 -1 4 -1 5 -1 #SUP: 36383
2 -1 1 -1 6 -1 8 -1 5 -1 #SUP: 36383
2 -1 1 -1 7 -1 #SUP: 36383
2 -1 1 -1 7 -1 4 -1 #SUP: 36383
